category,item,selection
Sport - Pool Swim,pull buoy,No
Sport - Pool Swim,sacchetto roba bagnata,No
Sport - Open Water,antinebbia occhialini,No
Sport - Open Water,boa arancione,No
Sport - Open Water,calze neoprene,No
Sport - Open Water,combinaison de nage,No
Sport - Open Water,crema anti-frottement,No
Sport - Open Water,Garmin e ricarica,No
Sport - Open Water,infradito,No
Sport - Open Water,occhialini,No
Sport - Open Water,poncho,No
Sport - Open Water,sacchetto roba bagnata,No
Sport - Open Water,tappi orecchie,No
Sport - Hicking,antivento o antipioggia,No
Sport - Hicking,borraccia,No
Sport - Hicking,buff,No
Sport - Hicking,calze sport,No
Sport - Hicking,camelbag,No
Sport - Hicking,canottiere / magliette sport,No
Sport - Hicking,fascia orecchie,No
Sport - Hicking,Garmin + ricarica,No
Sport - Hicking,mutande sport,No
Sport - Hicking,occhiali da sole sport,No
Sport - Hicking,pantaloni sport,No
Sport - Hicking,piumino,No
Sport - Hicking,reggiseni sport,No
Sport - Hicking,scarpe montagna,No
Sport - Hicking,scarpe sport,No
Sport - Hicking,sottoguanti,No
Sport - Hicking,zaino alpinismo,No
Sport - Gym,calze sport,Yes
Sport - Gym,canottiere / magliette sport,Yes
Sport - Gym,elastici,Yes
Sport - Gym,mutande sport,Yes
Sport - Gym,pantaloni sport,Yes
Sport - Gym,reggiseni sport,Yes
Sport - Gym,scarpe sport,Yes
Spiaggia,asciugamano da spiaggia,No
Spiaggia,bikini,No
Spiaggia,borraccia,No
Spiaggia,borsa da spiaggia,No
Spiaggia,crema solare corpo,No
Spiaggia,crema solare viso,No
Spiaggia,infradito,No
Spiaggia,licra protezione solare,No
Spiaggia,mini portafoglio essentials,No
Spiaggia,occhiali da sole,No
Spiaggia,pantaloncini neri protezione solare,No
Spiaggia,protezione capelli,No
Spiaggia,stick solare labbra,No
SPA,bikini,Yes
SPA,infradito,Yes
SPA,"kit doccia: shampoo, balsamo, ricci, spazzola",Yes
Night,ciabatte da casa,Yes
Night,mascherina per dormire,Yes
Night,pigiama,Yes
Night,tappi orecchie,Yes
Long travel extra,calze compressione,Yes
Long travel extra,cambio vestiti atterraggio,Yes
Long travel extra,mascherina per dormire,Yes
Long travel extra,melatonina,Yes
Long travel extra,tappi orecchie,Yes
Long travel extra,vestiti viaggio comodi,Yes
Elettronica,airpods + ricarica,Yes
Elettronica,iphone + ricarica,Yes
Elettronica,macbook + ricarica,Yes
Elettronica,mouse,Yes
Accessori,anelli,Yes
Accessori,braccialetti,Yes
Accessori,cintura,Yes
Accessori,collane,Yes
Accessori,orologi,Yes
